url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,317,153
/nutui-uniapp/nutui-uniapp/issues,104,34
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,78,26
/nutui-uniapp/nutui-uniapp/releases,58,45
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,45,13
/nutui-uniapp/nutui-uniapp/tree/main/example,35,11
/nutui-uniapp/nutui-uniapp/pulls,32,5
/nutui-uniapp/nutui-uniapp/tree/main/docs,30,8
/nutui-uniapp/nutui-uniapp/tree/main/example/src,26,5
/nutui-uniapp/nutui-uniapp/commits/main,26,4
