referrer,views_total,views_unique
github.com,420,112
Baidu,127,57
Google,127,50
nutui.jd.com,66,38
ext.dcloud.net.cn,30,13
cn.bing.com,21,15
link.csdn.net,18,3
gitee.com,12,8
Bing,10,8
npmjs.com,7,4
