referrer,views_total,views_unique
github.com,201,81
Baidu,80,56
nutui.jd.com,45,27
Google,38,29
ext.dcloud.net.cn,15,3
cn.bing.com,14,12
npmjs.com,11,3
Bing,7,1
gitee.com,4,3
gitcode.com,4,1
