time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-14 00:00:00+00:00,1.0,1.0,217,21
2024-04-15 00:00:00+00:00,51.0,20.0,439,71
2024-04-16 00:00:00+00:00,22.0,10.0,290,55
2024-04-17 00:00:00+00:00,8.0,4.0,186,53
2024-04-18 00:00:00+00:00,2.0,2.0,290,62
2024-04-19 00:00:00+00:00,20.0,6.0,388,46
2024-04-20 00:00:00+00:00,7.0,3.0,154,28
2024-04-21 00:00:00+00:00,3.0,3.0,120,33
2024-04-22 00:00:00+00:00,7.0,6.0,257,61
2024-04-23 00:00:00+00:00,42.0,18.0,407,74
2024-04-24 00:00:00+00:00,1.0,1.0,149,56
2024-04-25 00:00:00+00:00,8.0,4.0,312,62
2024-04-26 00:00:00+00:00,2.0,2.0,157,44
2024-04-27 00:00:00+00:00,,,239,23
