time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-03 00:00:00+00:00,13,12,11,10
2025-10-04 00:00:00+00:00,9,9,9,9
2025-10-05 00:00:00+00:00,13,8,14,7
2025-10-06 00:00:00+00:00,6,6,14,7
2025-10-07 00:00:00+00:00,13,13,8,4
2025-10-08 00:00:00+00:00,7,7,32,14
2025-10-09 00:00:00+00:00,13,13,81,25
2025-10-10 00:00:00+00:00,11,10,131,32
2025-10-11 00:00:00+00:00,45,24,242,27
2025-10-12 00:00:00+00:00,29,17,22,14
2025-10-13 00:00:00+00:00,58,42,191,39
2025-10-14 00:00:00+00:00,50,20,117,30
2025-10-15 00:00:00+00:00,255,36,212,34
2025-10-16 00:00:00+00:00,98,35,208,43
