time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-11 00:00:00+00:00,7.0,7.0,125,45
2025-03-12 00:00:00+00:00,8.0,6.0,146,46
2025-03-13 00:00:00+00:00,9.0,5.0,120,54
2025-03-14 00:00:00+00:00,7.0,4.0,120,41
2025-03-15 00:00:00+00:00,7.0,4.0,72,23
2025-03-16 00:00:00+00:00,5.0,3.0,46,14
2025-03-17 00:00:00+00:00,9.0,6.0,117,37
2025-03-18 00:00:00+00:00,2.0,2.0,130,50
2025-03-19 00:00:00+00:00,3.0,3.0,153,33
2025-03-20 00:00:00+00:00,12.0,5.0,109,43
2025-03-21 00:00:00+00:00,3.0,3.0,86,32
2025-03-22 00:00:00+00:00,4.0,4.0,39,20
2025-03-23 00:00:00+00:00,6.0,3.0,16,8
2025-03-24 00:00:00+00:00,,,93,54
