time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-15 00:00:00+00:00,47,22,29,25
2025-12-16 00:00:00+00:00,78,42,29,22
2025-12-17 00:00:00+00:00,5,5,31,24
2025-12-18 00:00:00+00:00,11,6,50,25
2025-12-19 00:00:00+00:00,6,6,33,28
2025-12-20 00:00:00+00:00,12,7,42,11
2025-12-21 00:00:00+00:00,20,11,24,8
2025-12-22 00:00:00+00:00,18,17,32,22
2025-12-23 00:00:00+00:00,13,8,44,30
2025-12-24 00:00:00+00:00,20,9,56,29
2025-12-25 00:00:00+00:00,14,5,68,31
2025-12-26 00:00:00+00:00,14,7,74,27
2025-12-27 00:00:00+00:00,7,5,23,15
2025-12-28 00:00:00+00:00,5,1,88,18
