referrer,views_total,views_unique
github.com,446,102
Baidu,107,48
Google,90,44
nutui.jd.com,79,36
ext.dcloud.net.cn,28,17
link.csdn.net,23,4
cn.bing.com,21,14
gitee.com,13,9
Bing,11,9
npmjs.com,11,5
