referrer,views_total,views_unique
github.com,182,77
nutui.jd.com,81,23
Baidu,72,51
Google,34,26
ext.dcloud.net.cn,14,2
cn.bing.com,12,10
npmjs.com,11,3
Bing,7,1
gitee.com,4,3
gitcode.com,4,1
