time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-08 00:00:00+00:00,7,7,32,14
2025-10-09 00:00:00+00:00,13,13,81,25
2025-10-10 00:00:00+00:00,11,10,131,32
2025-10-11 00:00:00+00:00,45,24,242,27
2025-10-12 00:00:00+00:00,29,17,22,14
2025-10-13 00:00:00+00:00,58,42,191,39
2025-10-14 00:00:00+00:00,50,20,117,30
2025-10-15 00:00:00+00:00,255,36,212,34
2025-10-16 00:00:00+00:00,102,38,211,46
2025-10-17 00:00:00+00:00,94,32,126,41
2025-10-18 00:00:00+00:00,19,11,56,16
2025-10-19 00:00:00+00:00,30,9,16,16
2025-10-20 00:00:00+00:00,64,21,151,43
2025-10-21 00:00:00+00:00,46,22,53,25
