referrer,views_total,views_unique
github.com,131,62
nutui.jd.com,65,15
Baidu,47,30
Google,32,21
npmjs.com,12,4
cn.bing.com,8,6
Bing,7,1
gitcode.com,6,2
gitee.com,2,2
wot-design-uni.pages.dev,1,1
