time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-08 00:00:00+00:00,7,7,208,52
2023-12-09 00:00:00+00:00,48,24,185,15
2023-12-10 00:00:00+00:00,9,8,40,10
2023-12-11 00:00:00+00:00,7,6,287,25
2023-12-12 00:00:00+00:00,6,6,149,31
2023-12-13 00:00:00+00:00,19,13,215,35
2023-12-14 00:00:00+00:00,71,28,248,35
2023-12-15 00:00:00+00:00,4,4,327,36
2023-12-16 00:00:00+00:00,25,16,123,20
2023-12-17 00:00:00+00:00,6,6,387,182
2023-12-18 00:00:00+00:00,43,23,147,39
2023-12-19 00:00:00+00:00,6,6,212,78
2023-12-20 00:00:00+00:00,10,9,194,41
2023-12-21 00:00:00+00:00,4,4,300,46
