url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,466,238
/nutui-uniapp/nutui-uniapp/issues,206,73
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,107,29
/nutui-uniapp/nutui-uniapp/releases,95,64
/nutui-uniapp/nutui-uniapp/tree/main/example,85,19
/nutui-uniapp/nutui-uniapp/tree/main/example/src,77,13
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,68,19
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/src,42,13
/nutui-uniapp/nutui-uniapp/pulls,30,11
/nutui-uniapp/nutui-uniapp/tree/main/example/src/pages,29,9
