url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,521,228
/nutui-uniapp/nutui-uniapp/issues,291,67
/nutui-uniapp/nutui-uniapp/releases,110,71
/nutui-uniapp/nutui-uniapp/pulls,104,19
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,96,29
/nutui-uniapp/nutui-uniapp/issues/251,67,18
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,66,22
/nutui-uniapp/nutui-uniapp/pull/262,63,5
/nutui-uniapp/nutui-uniapp/commits/main,56,10
/nutui-uniapp/nutui-uniapp/tree/main/example,55,19
