url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,281,179
/nutui-uniapp/nutui-uniapp/issues,145,46
/nutui-uniapp/nutui-uniapp/releases,68,53
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,20,19
/nutui-uniapp/nutui-uniapp/issues/440,18,15
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,16,14
/nutui-uniapp/nutui-uniapp/issues/251,15,11
/nutui-uniapp/nutui-uniapp/tree/main/example,13,5
/nutui-uniapp/nutui-uniapp/pull/174/commits,11,10
/nutui-uniapp/nutui-uniapp/releases/tag/v1.8.4,9,8
