referrer,views_total,views_unique
github.com,183,81
nutui.jd.com,83,23
Baidu,59,38
Google,33,28
cn.bing.com,12,10
npmjs.com,12,4
Bing,7,1
ext.dcloud.net.cn,6,1
gitcode.com,5,2
gitee.com,2,2
