url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,441,188
/nutui-uniapp/nutui-uniapp/issues,200,52
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,94,29
/nutui-uniapp/nutui-uniapp/releases,82,51
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,73,22
/nutui-uniapp/nutui-uniapp/tree/main/example,63,18
/nutui-uniapp/nutui-uniapp/tree/main/example/src,55,11
/nutui-uniapp/nutui-uniapp/pulls,50,8
/nutui-uniapp/nutui-uniapp/issues/169,43,9
/nutui-uniapp/nutui-uniapp/commits/main,43,6
