time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-23 00:00:00+00:00,2.0,2.0,97,26
2024-03-24 00:00:00+00:00,1.0,1.0,21,11
2024-03-25 00:00:00+00:00,32.0,12.0,457,41
2024-03-26 00:00:00+00:00,12.0,10.0,352,48
2024-03-27 00:00:00+00:00,21.0,7.0,210,39
2024-03-28 00:00:00+00:00,53.0,18.0,312,46
2024-03-29 00:00:00+00:00,33.0,12.0,331,44
2024-03-30 00:00:00+00:00,2.0,2.0,101,20
2024-03-31 00:00:00+00:00,2.0,2.0,215,17
2024-04-01 00:00:00+00:00,2.0,2.0,233,50
2024-04-02 00:00:00+00:00,27.0,13.0,361,55
2024-04-03 00:00:00+00:00,15.0,7.0,218,49
2024-04-04 00:00:00+00:00,3.0,3.0,72,19
2024-04-05 00:00:00+00:00,,,49,14
