referrer,views_total,views_unique
github.com,811,101
nutui.jd.com,65,29
Baidu,38,35
cn.bing.com,29,14
Google,25,16
gitee.com,10,8
Bing,5,3
ext.dcloud.net.cn,4,3
mail.qq.com,2,2
link.csdn.net,2,1
