referrer,views_total,views_unique
github.com,359,88
nutui.jd.com,58,25
ext.dcloud.net.cn,26,14
cn.bing.com,19,4
gitee.com,12,6
uni-helper.js.org,8,6
npmjs.com,5,3
link.zhihu.com,2,1
Baidu,1,1
Bing,1,1
