time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-24 00:00:00+00:00,3,2,152,70
2024-10-25 00:00:00+00:00,4,3,167,52
2024-10-26 00:00:00+00:00,1,1,45,25
2024-10-27 00:00:00+00:00,1,1,27,22
2024-10-28 00:00:00+00:00,6,5,182,57
2024-10-29 00:00:00+00:00,10,6,106,57
2024-10-30 00:00:00+00:00,13,6,178,69
2024-10-31 00:00:00+00:00,1,1,126,44
2024-11-01 00:00:00+00:00,3,3,167,55
2024-11-02 00:00:00+00:00,4,4,44,18
2024-11-03 00:00:00+00:00,1,1,49,13
2024-11-04 00:00:00+00:00,10,6,128,51
2024-11-05 00:00:00+00:00,2,2,140,54
2024-11-06 00:00:00+00:00,2,2,131,49
