time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-25 00:00:00+00:00,3,2,20,15
2024-08-26 00:00:00+00:00,25,4,134,37
2024-08-27 00:00:00+00:00,3,2,176,46
2024-08-28 00:00:00+00:00,4,3,126,35
2024-08-29 00:00:00+00:00,6,5,206,33
2024-08-30 00:00:00+00:00,6,4,218,49
2024-08-31 00:00:00+00:00,3,3,44,14
2024-09-01 00:00:00+00:00,2,2,29,12
2024-09-02 00:00:00+00:00,13,8,251,46
2024-09-03 00:00:00+00:00,12,6,213,45
2024-09-04 00:00:00+00:00,13,6,476,61
2024-09-05 00:00:00+00:00,11,6,339,57
2024-09-06 00:00:00+00:00,13,5,257,45
2024-09-07 00:00:00+00:00,25,12,176,19
