referrer,views_total,views_unique
github.com,581,80
nutui.jd.com,80,22
mail.qq.com,23,2
cn.bing.com,22,15
Baidu,20,18
ext.dcloud.net.cn,17,7
Google,14,10
uni-helper.js.org,5,3
Bing,3,3
hellogithub.com,3,2
