referrer,views_total,views_unique
github.com,1404,139
nutui.jd.com,111,29
ext.dcloud.net.cn,43,13
Google,42,14
npmjs.com,37,4
cn.bing.com,35,7
Baidu,14,7
gitee.com,10,10
Bing,7,2
oschina.net,5,1
