time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-04 00:00:00+00:00,3,3,72,19
2024-04-05 00:00:00+00:00,1,1,50,15
2024-04-06 00:00:00+00:00,3,3,39,15
2024-04-07 00:00:00+00:00,43,15,292,39
2024-04-08 00:00:00+00:00,3,3,165,40
2024-04-09 00:00:00+00:00,17,11,214,33
2024-04-10 00:00:00+00:00,41,23,458,62
2024-04-11 00:00:00+00:00,24,14,630,59
2024-04-12 00:00:00+00:00,48,20,262,56
2024-04-13 00:00:00+00:00,13,9,99,26
2024-04-14 00:00:00+00:00,1,1,217,21
2024-04-15 00:00:00+00:00,51,20,439,71
2024-04-16 00:00:00+00:00,22,10,290,55
2024-04-17 00:00:00+00:00,2,2,186,53
