url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,590,280
/nutui-uniapp/nutui-uniapp/issues,266,72
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,131,36
/nutui-uniapp/nutui-uniapp/releases,129,75
/nutui-uniapp/nutui-uniapp/tree/main/example,85,23
/nutui-uniapp/nutui-uniapp/pulls,73,17
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,51,17
/nutui-uniapp/nutui-uniapp/tree/main/example/src,50,11
/nutui-uniapp/nutui-uniapp/issues/251,32,26
/nutui-uniapp/nutui-uniapp/issues/321,32,12
