url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,343,208
/nutui-uniapp/nutui-uniapp/issues,117,58
/nutui-uniapp/nutui-uniapp/releases,79,56
/nutui-uniapp/nutui-uniapp/issues/251,39,25
/nutui-uniapp/nutui-uniapp/issues/440,30,20
/nutui-uniapp/nutui-uniapp/tree/main/example,20,14
/nutui-uniapp/nutui-uniapp/pulls,20,12
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,18,13
/nutui-uniapp/nutui-uniapp/discussions/411,15,15
/nutui-uniapp/nutui-uniapp/issues/309,13,13
