time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-01 00:00:00+00:00,11,3,156,36
2025-08-02 00:00:00+00:00,16,8,41,10
2025-08-03 00:00:00+00:00,11,3,18,16
2025-08-04 00:00:00+00:00,14,6,119,37
2025-08-05 00:00:00+00:00,13,7,86,34
2025-08-06 00:00:00+00:00,18,10,112,23
2025-08-07 00:00:00+00:00,10,4,70,36
2025-08-08 00:00:00+00:00,18,9,126,32
2025-08-09 00:00:00+00:00,15,7,32,13
2025-08-10 00:00:00+00:00,13,7,12,8
2025-08-11 00:00:00+00:00,15,7,87,23
2025-08-12 00:00:00+00:00,10,4,95,45
2025-08-13 00:00:00+00:00,116,32,149,38
2025-08-14 00:00:00+00:00,1,1,112,37
