referrer,views_total,views_unique
github.com,290,106
Baidu,92,74
Google,54,31
nutui.jd.com,30,15
Bing,16,6
gitee.com,14,4
cn.bing.com,11,9
ext.dcloud.net.cn,10,4
gitcode.com,2,1
npmjs.com,2,1
