time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-01 00:00:00+00:00,3,3,167,55
2024-11-02 00:00:00+00:00,4,4,44,18
2024-11-03 00:00:00+00:00,1,1,49,13
2024-11-04 00:00:00+00:00,10,6,128,51
2024-11-05 00:00:00+00:00,2,2,140,54
2024-11-06 00:00:00+00:00,6,3,133,50
2024-11-07 00:00:00+00:00,3,1,137,66
2024-11-08 00:00:00+00:00,3,2,104,51
2024-11-09 00:00:00+00:00,3,3,104,27
2024-11-10 00:00:00+00:00,1,1,27,14
2024-11-11 00:00:00+00:00,7,4,222,40
2024-11-12 00:00:00+00:00,15,7,192,53
2024-11-13 00:00:00+00:00,3,3,83,46
2024-11-14 00:00:00+00:00,1,1,74,43
