url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,449,191
/nutui-uniapp/nutui-uniapp/issues,208,55
/nutui-uniapp/nutui-uniapp/releases,102,55
/nutui-uniapp/nutui-uniapp/pulls,59,13
/nutui-uniapp/nutui-uniapp/tree/main/example,52,17
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,50,19
/nutui-uniapp/nutui-uniapp/commits/main,49,7
/nutui-uniapp/nutui-uniapp/tree/main/example/src,33,10
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,32,12
/nutui-uniapp/nutui-uniapp/commits/2.x,30,1
