time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-30 00:00:00+00:00,4,4,172,23
2024-01-31 00:00:00+00:00,13,11,308,40
2024-02-01 00:00:00+00:00,8,7,139,24
2024-02-02 00:00:00+00:00,3,3,245,42
2024-02-03 00:00:00+00:00,13,8,125,20
2024-02-04 00:00:00+00:00,25,17,230,29
2024-02-05 00:00:00+00:00,5,5,168,31
2024-02-06 00:00:00+00:00,36,22,324,35
2024-02-07 00:00:00+00:00,3,3,384,32
2024-02-08 00:00:00+00:00,3,3,89,17
2024-02-09 00:00:00+00:00,5,5,12,5
2024-02-10 00:00:00+00:00,4,4,6,1
2024-02-11 00:00:00+00:00,4,4,55,3
2024-02-12 00:00:00+00:00,2,2,24,7
