time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-28 00:00:00+00:00,11.0,5.0,88,23
2025-08-29 00:00:00+00:00,13.0,7.0,57,31
2025-08-30 00:00:00+00:00,9.0,3.0,23,12
2025-08-31 00:00:00+00:00,14.0,8.0,34,18
2025-09-01 00:00:00+00:00,13.0,7.0,97,26
2025-09-02 00:00:00+00:00,12.0,4.0,85,33
2025-09-03 00:00:00+00:00,6.0,6.0,50,27
2025-09-04 00:00:00+00:00,8.0,8.0,61,31
2025-09-05 00:00:00+00:00,8.0,8.0,78,27
2025-09-06 00:00:00+00:00,3.0,3.0,42,17
2025-09-07 00:00:00+00:00,6.0,6.0,25,15
2025-09-08 00:00:00+00:00,5.0,5.0,56,23
2025-09-09 00:00:00+00:00,7.0,7.0,65,23
2025-09-10 00:00:00+00:00,,,64,28
