url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,596,280
/nutui-uniapp/nutui-uniapp/issues,267,72
/nutui-uniapp/nutui-uniapp/releases,132,97
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,118,27
/nutui-uniapp/nutui-uniapp/tree/main/example,76,22
/nutui-uniapp/nutui-uniapp/pulls,73,15
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,67,17
/nutui-uniapp/nutui-uniapp/tree/main/example/src,58,14
/nutui-uniapp/nutui-uniapp/commits/main,53,8
/nutui-uniapp/nutui-uniapp/issues/251,48,35
