url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,413,227
/nutui-uniapp/nutui-uniapp/issues,177,64
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,89,23
/nutui-uniapp/nutui-uniapp/releases,68,53
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,60,18
/nutui-uniapp/nutui-uniapp/commits/main,47,9
/nutui-uniapp/nutui-uniapp/tree/main/example,44,13
/nutui-uniapp/nutui-uniapp/pulls,39,13
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/locale,32,2
/nutui-uniapp/nutui-uniapp/issues/251,23,16
