time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,67,23,43,23
2026-01-27 00:00:00+00:00,54,13,62,24
2026-01-28 00:00:00+00:00,42,9,45,31
2026-01-29 00:00:00+00:00,95,30,107,23
2026-01-30 00:00:00+00:00,38,9,61,24
2026-01-31 00:00:00+00:00,40,7,22,16
2026-02-01 00:00:00+00:00,47,11,10,9
2026-02-02 00:00:00+00:00,46,13,49,26
2026-02-03 00:00:00+00:00,51,11,42,20
2026-02-04 00:00:00+00:00,47,11,39,20
2026-02-05 00:00:00+00:00,45,11,27,22
2026-02-06 00:00:00+00:00,48,12,44,26
2026-02-07 00:00:00+00:00,46,12,46,15
2026-02-08 00:00:00+00:00,50,11,5,5
