url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,430,194
/nutui-uniapp/nutui-uniapp/issues,229,60
/nutui-uniapp/nutui-uniapp/releases,99,58
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,68,23
/nutui-uniapp/nutui-uniapp/pulls,57,14
/nutui-uniapp/nutui-uniapp/tree/main/example,52,16
/nutui-uniapp/nutui-uniapp/tree/main/example/src,49,9
/nutui-uniapp/nutui-uniapp/commits/main,38,5
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,36,15
/nutui-uniapp/nutui-uniapp/tree/main/example/src/pages,35,7
