referrer,views_total,views_unique
github.com,136,74
Google,48,34
Baidu,39,31
nutui.jd.com,37,20
bgithub.xyz,22,2
gitee.com,14,6
ext.dcloud.net.cn,13,6
cn.bing.com,11,10
Bing,3,3
npmjs.com,3,2
