time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-13 00:00:00+00:00,2,2,184,51
2024-05-14 00:00:00+00:00,8,4,366,43
2024-05-15 00:00:00+00:00,5,4,227,56
2024-05-16 00:00:00+00:00,4,4,310,48
2024-05-17 00:00:00+00:00,2,2,253,50
2024-05-18 00:00:00+00:00,1,1,101,23
2024-05-19 00:00:00+00:00,1,1,24,15
2024-05-20 00:00:00+00:00,7,4,225,53
2024-05-21 00:00:00+00:00,23,12,407,67
2024-05-22 00:00:00+00:00,5,2,200,49
2024-05-23 00:00:00+00:00,8,4,302,34
2024-05-24 00:00:00+00:00,11,6,245,44
2024-05-25 00:00:00+00:00,24,11,190,24
2024-05-26 00:00:00+00:00,1,1,97,23
