url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,552,226
/nutui-uniapp/nutui-uniapp/issues,315,74
/nutui-uniapp/nutui-uniapp/pulls,119,20
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,117,30
/nutui-uniapp/nutui-uniapp/releases,112,72
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,83,22
/nutui-uniapp/nutui-uniapp/tree/main/example,74,28
/nutui-uniapp/nutui-uniapp/issues/251,72,21
/nutui-uniapp/nutui-uniapp/pull/262,63,5
/nutui-uniapp/nutui-uniapp/commits/main,49,11
