url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,118,74
/nutui-uniapp/nutui-uniapp/issues,50,16
/nutui-uniapp/nutui-uniapp/blob/main/packages/nutui/components/avatar/avatar.vue,21,1
/nutui-uniapp/nutui-uniapp/releases,20,17
/nutui-uniapp/nutui-uniapp/issues/440,17,9
/nutui-uniapp/nutui-uniapp/blob/main/packages/nutui/components/avatar/avatar.ts,10,1
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,9,5
/nutui-uniapp/nutui-uniapp/blob/main/packages/nutui/components/avatar/index.scss,9,1
/nutui-uniapp/nutui-uniapp/blob/main/packages/nutui/components/_utils/style.ts,9,1
/nutui-uniapp/nutui-uniapp/tree/main/example,6,5
