time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-23 00:00:00+00:00,16,6,94,34
2025-05-24 00:00:00+00:00,113,92,36,14
2025-05-25 00:00:00+00:00,9,3,55,14
2025-05-26 00:00:00+00:00,13,5,62,26
2025-05-27 00:00:00+00:00,10,4,59,30
2025-05-28 00:00:00+00:00,16,8,95,41
2025-05-29 00:00:00+00:00,16,8,166,32
2025-05-30 00:00:00+00:00,17,9,66,23
2025-05-31 00:00:00+00:00,13,7,15,11
2025-06-01 00:00:00+00:00,19,13,66,13
2025-06-02 00:00:00+00:00,14,8,24,17
2025-06-03 00:00:00+00:00,35,13,224,42
2025-06-04 00:00:00+00:00,37,9,91,36
2025-06-05 00:00:00+00:00,1,1,151,50
