time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-12 00:00:00+00:00,7.0,5.0,213,39
2025-05-13 00:00:00+00:00,7.0,4.0,197,42
2025-05-14 00:00:00+00:00,8.0,6.0,134,45
2025-05-15 00:00:00+00:00,13.0,9.0,121,34
2025-05-16 00:00:00+00:00,67.0,25.0,162,43
2025-05-17 00:00:00+00:00,10.0,7.0,50,26
2025-05-18 00:00:00+00:00,7.0,4.0,129,18
2025-05-19 00:00:00+00:00,9.0,7.0,130,52
2025-05-20 00:00:00+00:00,5.0,5.0,180,53
2025-05-21 00:00:00+00:00,6.0,4.0,87,34
2025-05-22 00:00:00+00:00,13.0,7.0,113,41
2025-05-23 00:00:00+00:00,16.0,6.0,94,34
2025-05-24 00:00:00+00:00,113.0,92.0,36,14
2025-05-25 00:00:00+00:00,,,55,14
