time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-31 00:00:00+00:00,22,14,69,8
2024-01-01 00:00:00+00:00,9,8,13,9
2024-01-02 00:00:00+00:00,4,4,134,35
2024-01-03 00:00:00+00:00,42,23,263,53
2024-01-04 00:00:00+00:00,43,21,366,41
2024-01-05 00:00:00+00:00,8,7,251,40
2024-01-06 00:00:00+00:00,5,5,114,18
2024-01-07 00:00:00+00:00,10,7,62,15
2024-01-08 00:00:00+00:00,47,22,299,43
2024-01-09 00:00:00+00:00,8,7,125,52
2024-01-10 00:00:00+00:00,13,11,303,56
2024-01-11 00:00:00+00:00,6,6,281,62
2024-01-12 00:00:00+00:00,8,7,318,37
2024-01-13 00:00:00+00:00,3,3,183,13
