url_path,views_total,views_unique
/nutui-uniapp/nutui-uniapp,446,194
/nutui-uniapp/nutui-uniapp/issues,216,56
/nutui-uniapp/nutui-uniapp/releases,96,50
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui,58,21
/nutui-uniapp/nutui-uniapp/pulls,58,12
/nutui-uniapp/nutui-uniapp/commits/main,51,7
/nutui-uniapp/nutui-uniapp/tree/main/example,50,16
/nutui-uniapp/nutui-uniapp/tree/main/example/src,35,10
/nutui-uniapp/nutui-uniapp/tree/main/packages/nutui/components,33,14
/nutui-uniapp/nutui-uniapp/tree/main/example/src/pages,29,8
