time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-07 00:00:00+00:00,12,6,34,14
2025-06-08 00:00:00+00:00,9,3,42,18
2025-06-09 00:00:00+00:00,12,4,73,32
2025-06-10 00:00:00+00:00,12,6,87,41
2025-06-11 00:00:00+00:00,14,6,111,31
2025-06-12 00:00:00+00:00,12,4,67,26
2025-06-13 00:00:00+00:00,12,6,72,32
2025-06-14 00:00:00+00:00,15,9,35,14
2025-06-15 00:00:00+00:00,11,5,43,13
2025-06-16 00:00:00+00:00,19,11,118,35
2025-06-17 00:00:00+00:00,16,8,112,41
2025-06-18 00:00:00+00:00,16,8,199,35
2025-06-19 00:00:00+00:00,11,3,49,25
2025-06-20 00:00:00+00:00,6,6,141,21
