referrer,views_total,views_unique
github.com,1163,143
nutui.jd.com,85,28
ext.dcloud.net.cn,63,26
npmjs.com,38,5
cn.bing.com,33,7
Baidu,25,8
Google,20,12
gitee.com,15,10
Bing,4,1
uni-helper.js.org,2,2
