time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-31 00:00:00+00:00,14,8,34,18
2025-09-01 00:00:00+00:00,13,7,97,26
2025-09-02 00:00:00+00:00,12,4,85,33
2025-09-03 00:00:00+00:00,6,6,50,27
2025-09-04 00:00:00+00:00,8,8,61,31
2025-09-05 00:00:00+00:00,8,8,78,27
2025-09-06 00:00:00+00:00,3,3,42,17
2025-09-07 00:00:00+00:00,6,6,25,15
2025-09-08 00:00:00+00:00,5,5,56,23
2025-09-09 00:00:00+00:00,7,7,65,23
2025-09-10 00:00:00+00:00,8,7,66,30
2025-09-11 00:00:00+00:00,14,11,107,40
2025-09-12 00:00:00+00:00,57,21,65,25
2025-09-13 00:00:00+00:00,1,1,87,36
