referrer,views_total,views_unique
github.com,392,86
nutui.jd.com,49,24
ext.dcloud.net.cn,23,11
gitee.com,10,6
cn.bing.com,9,2
uni-helper.js.org,8,7
npmjs.com,5,3
Google,4,2
Baidu,2,2
Bing,1,1
