referrer,views_total,views_unique
github.com,120,58
nutui.jd.com,90,28
Baidu,62,55
Google,37,24
cn.bing.com,15,10
gitee.com,10,7
Bing,5,1
uni-helper.js.org,4,4
ext.dcloud.net.cn,4,2
gitcode.com,4,2
