referrer,views_total,views_unique
github.com,744,87
nutui.jd.com,97,31
Google,79,25
Baidu,48,36
cn.bing.com,30,11
gitee.com,12,8
npmjs.com,5,1
uni-helper.js.org,3,3
Bing,3,3
ext.dcloud.net.cn,3,2
